parent,address,distance,pname,importance,biz_ext,biz_type,cityname,type,photos,typecode,shopinfo,poiweight,childtype,adname,name,location,tel,shopid,id
[],浪心村东海百货对面,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/4e49a77690203e1b2cba5f8e1022ac9d'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/60e4e59041f53b331c90679813202e94'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/a50c2c7270ba1e3fc143586c5bf0fc87'}]",090300,2,[],[],宝安区,诊所,"113.917519,22.664560",13631581612;17373485955,[],B0J0O7DR4I
[],观澜新湖路与高尔夫大道交叉口南160米,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/0e8ce1c898c13220df755162e2481a25'}]",090300,2,[],[],龙华区,诊所,"114.089379,22.723334",[],[],B0J30ZD32Y
[],33区裕安二路173号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/1010e0637f357587b764c888f1cbf28b'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/7aea284033c17e02c56677697d0d5d46'}, {'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/7dfdef7e4fb0ad3c5154f89732fb9864.jpg'}]",090300,2,[],[],宝安区,深圳夏志军诊所,"113.909458,22.580130",13682382809,[],B0FFH0ZGL9
[],龙园路61-1号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'https://aos-comment.amap.com/B0JAXM73GY/headerImg/3ca6739823438db20ff713ddad08e4c9_2048_2048_80.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/5958612fb2adeecc7ec37f5a47a7c3db'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/9b7ebec18bc5dd943aa7eb24dd5ef911'}]",090300,2,[],[],龙岗区,深圳徐源诊所,"114.258635,22.722481",[],[],B0JAXM73GY
[],固戍二路石街住宅小区(固戍地铁站A口步行280米),[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/2d061191ce13b202b653b06d13484f62'}]",090300,2,[],[],宝安区,深圳诊所,"113.849345,22.601791",[],[],B0HRVOFFKA
[],沙井新桥洋下二路15-1号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/ec83555be06f8ca08d1bb3f74a07569b'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/f72f405ca39f2952aae910f9f9200f2c'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/5b37dd01b3714da7945f46e44748a494'}]",090300,2,[],[],宝安区,深圳张远强诊所,"113.842490,22.736128",13689593063,[],B0HRUMD9W2
[],沙浦二村沙浦二路302号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/d40fe506dbe7bed999ecda5d39816dac'}]",090300,2,[],[],宝安区,慧文诊所,"113.830313,22.778918",[],[],B0FFKFOQOM
[],北山道57号-6金海雅居12号(盐田墟地铁站B口旁),[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/3813fde7750be16bee38c8c8e40e13ae'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/59dc6965460d1f039d62eb0911b8e4bd'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/425d0c0615441d348ba4d9ad52e40932'}]",090300,2,[],[],盐田区,林尧诊所,"114.276049,22.586507",13714508983,[],B0FFGDF5GN
[],沿河南路与民旺路交叉口南80米,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/8806a2a1e37e787f671a28f6862318bb'}]",090300,2,[],[],龙华区,深圳卫民诊所,"114.037564,22.621086",18819068582,[],B0FFKD31YK
[],下李南路89-1号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/ca48cf5aaa8affa3beefb4f2db752154'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/3547262015718943810c526c6a05a567'}]",090300,2,[],[],龙岗区,深圳成志诊所,"114.135304,22.636812",0755-89379927,[],B0FFFE5HZW
